a,b
,임신 중에 약을 먹어도 되나요?
,약을 복용 중이지만 아이 계획을 가져보려고 해요
,임신중에 약물 치료를 해도 될까요?
,임신중인데 약물 치료를 해도 될까요?
,약을 먹으면 임신에 안좋나요?
,약물치료중에는 임신하면안되나요?
,약물치료중에는 태아에 안좋나요?
,치료중에는 임신불가능한가요?
,임신중에 약먹으면 안되나요?
,조현병치료중에 임신하면 안되나요?
,치료중에는 임신 비추천인가요?
,치료중에는 임신여부 어떻게 되나요?
,치료중에는 임신하기 힘든가요?
,약먹으면 임신 안좋은건가요?
,약먹으면 임신하기 힘든가요?
,약먹으면 임신금지인가요?
,조현병치료중에도 임신가능한가요?
,조현병치료중에는 임신 조심해야하나요?
,임신여부가 궁금해요
,임신하면 어떻게 되나요?
,임신중이면 약물중단해야하나요?
,임신중에 약물이 태아에 영향이 가나요?
,약먹는중에는 임신하면 안되나요?
,약먹는중에도 임신가능한가요?
,임신은 완치되고 가능한가요?
,임신중인데 약이 태아에 영향이 갈까봐 두려워요
,임신중에는 약을 어떻게 해야하나요?
,임신한 상태에서 약복용하면 어떻게 되나요?
,임신중에 약복용은 어떻게 되나요?
,임신중에 약복용은 부작용 없나요?
,임신중에는 약을 어떻게 먹나요?
,임신을 정상인처럼 하기 힘든가요?
,하루빨리 임신이 급해요 어떻게 해야하나요?
,치료중에 임신하면 큰일나나요?
,치료중에는 임신 참아야하나요?
,치료중에는 임신 어떻게 하나요?
,약과 태아와 관계있나요?
,약이 태아에게 해롭나요?
,약먹고 있으면 임신 어렵나요?
,약먹고 있으면 임신 어떤가요?
,아이 계획이 있는데 약물 치료 해도 되나요?
,아이 계획이 있는데 약물 치료 중단해야 하나요?
,아이 계획이 있는데 약물 치료 중단해야 할까요?
,약물 치료 중 아이를 가지면 큰일나나요?
,약물 치료가 태아에서 악영향을 줄 수 있나요?
,약물 치료가 임신중에 악영향을 줄 수 있나요?
,약물 치료를 임신중에는 중단해야 하나요?
,약물 치료를 임신을 위해서 중단하고 싶어요
,약물이 임신에 나쁜가요?
,약을 먹으면 태아에게 안좋나요?
,약물이 아이에게 어떤 악영향을 줄 수 있나요?
,조현병을 치료중이지만 아기를 가지고 싶습니다.
,조현병 약물이 아기에게 영향을 줄 수 있나요?
,임신 중에 약을 복용해도 되나요?
,약을 복용 중이지만 아이 계획을 가질려고 합니다
,임신중에 약물 치료를 해도 되나요?
,임신중인데 약물 치료를 해도 될까요?
,약을 먹으면 임신에 안좋은 영향이 있나요?
,아이 계획이 있는데 약물 치료 중단해야 되나요?
,아이 계획이 있는데 약물 치료 중단하는게 옮은건가요?
,아이 계획이 있는데 약물 치료 중지해야 할까요?
,약물 치료 중 아이를 가지면 문제가 생길수있나요?
,약물 치료가 태아에서 나쁜 악영향을 줄 수 있나요?
,약물 치료가 임신중에 나쁜 악영향을 줄 수 있나요?
,약물 치료를 임신중에는 중지해야 하나요?
,약물 치료를 임신을 위해서 중지하고 싶어요
,약물이 임신에 많이 나쁜가요?
,약을 먹으면 태아에게 많이 안좋나요?
,약물이 아이에게 어떤 나쁜 악영향을 줄 수 있나요?
,조현병을 치료중이지만 임신을 하고 싶습니다.
,조현병 약물이 애기에게 영향을 줄 수 있나요?
,임신 중에 약을 먹으면 안되나요?
,약을 복용 중이지만 아이 계획을 가지고 있습니다
,임신중에 약물 치료를 해도 문제가 없을까요?
,임신중인데 약물 치료를 하면 문제가 있나요?
,임신을 하면 안되나요?
,약을 먹는데 아이를 낳을 수 있나요?
,약물 치료 중인데 아기를 가질 수 있나요?
,조현병 약이 아이에게 문제가 될 수 있나요?
,조현병치료 중인데 약이 아기에게 문제가 되나요?
,조현병 환자는 임신을 하지 못하나요?
,아이를 가지고 싶어요
,아기를 가지고 싶어요
,아이를 낳고 싶어요
,아기를 낳고 싶어요
,아이를 가지면 안되나요?
,임신을 하고 싶어요
,치료 중인데 임신을 하고 싶어요
,치료 중인데 아이를 가지고 싶어요
,임신 중에 약물을 복용하면 안되나요?
,임신 중에 약을 먹어도 되나요?
,임신 중에 약을 먹을 수 없나요?
,약물 치료 중이면 아이를 가지면 안되나요?
,약물 치료 중에는 임신을 하면 안되나요?
,약물 치료를 시작하면 임신을 할 수 없나요?
,약물 치료를 시작하면 아기를 가지면 안되나요?
,아기를 가질 수 없나요?
,약을 먹으면 아기를 가질 수 없나요?
,약을 먹기 시작하면 임신하면 안되나요?
,임신중에 약을 먹으면 아기에게 해로운가요?
,임신중에 약을 먹으면 아기에게 안좋은가요?
,임신 중에 약을 복용 하면 문제가 생기나요?
,임신 중에 약을 먹는게 큰 문제가 될까요?
,임신하면 조현병 약을 먹으면 안되나요?
,임신 중에는 약물 복용을 하면 안되나요?
,아이를 가지면 약물을 중단해야하나요?
,약물을 먹고 있는 중에는 임신을 하면 안되나요?
,약물 복용 중에는 아기를 가지면 안될까요?
,아기를 가지면 안되는 건가요?
,임신을 하면 안되는 건가요?
,약물 복용 중인데 아이를 가져도 될까요?
,약을 먹고 있는데 아이를 가져도 될까요?
,약을 복용하고 있는데 아이를 가져도 될까요?
,약물 치료 중에 임신해도 괜찮을까요?
,약물 복용 중인데 임신해도 괜찮을까요?
,약을 먹고 있는데 임신해도 괜찮을까요?
,약을 복용하고 있는데 임신해도 괜찮을까요?
,약물 치료 중에 임신하면 안좋을까요?
,약물 복용 중인데 임신하면 안좋을까요?
,약을 먹고 있는데 임신하면 안좋을까요?
,약을 복용하고 있는데 임신하면 안좋을까요?
,조현병을 치료중이지만 아이 계획이 있습니다.
,조현병을 치료중이지만 임신 계획이 있습니다.
,약을 복용 중이지만 임신 계획을 가져보려고 해요
,약을 먹는 중이지만 임신 계획을 가져보려고 해요
,조현병 약물이 태아에게 안좋은가요?
,조현병 약물로 장애아가 태어날 수 있나요?
,조현병 약물이 태아 건강에 안좋은가요?
,조현병 약물이 아이에게 안좋은가요?
,조현병 약물로 장애를 가진 아기가 태어날 수 있나요?
,조현병 약물이 아이 건강에 안좋은가요?
,조현병 약물이 아이에게 영향을 줄 수 있나요?
,임신 중에 약을 복용해도 되나요?
,임신 중에 약물치료를 받아도 될까요?
,임신 중에 약을 먹어도 될까요?
,약을 복용하면 임신에 안좋나요?
,약물치료를 받아면 임신에 안좋나요?
,약물이 임신하는데 영향을 끼치나요?
,약물치료가 임신하는데 영향을 끼치나요?
,약을 복용하는게 임신하는데 영향을 끼치나요?
,조현병 치료 중에는 임신하면 안되나요?
,약물치료중에는 임신하면 안되나요?
,약을 복용하는 중에는 임신하면 안되나요?
,약을 먹고 있으면 아이를 가지면 안되나요?
,약물 치료중에 임신해도 되나요?
,약물 치료 중에 임신해도 괜찮나요?
,아이를 갖고 싶어요
,임신중에 조현병 치료가 가능한가요?
,임신해도 조현병 치료를 받을 수 있나요?
,임신 중에 조현병 치료를 받을 수 있나요?
,지금이 아니면 임신할 시간이 없어요
,임산부도 조현병치료가 가능한가요?
,환자가 아이를 갖고 싶어합니다
,조현병 환자가 아이를 갖고 싶어합니다
,조현병 환자가 아이를 가져도 되나요?
,조현병 환자가 임신하면 어떻게 되나요?
,조현병 환자지만 아이 계획을 세우려고 합니다
,조현병 환자지만 아이 계획이 있어요
,조현병 치료를 받으면서 임신해도 되나요?
,치료를 받으면서 임신해도 되나요?
,임신해도 조현병 약을 먹어도 되나요?
,임신해도 약을 복용해도 되나요?
,임신계획을 세워도 되나요?
,아이계획을 세워도 되나요?
,아이를 가질 생각인데 가능할까요?
,아이를 가질 생각인데 괜찮을까요?
,임신해도 괜찮을까요?
,임신과 약물치료 병행이 되나요?
,약물치료랑 임신을 병행할 수 있나요?
,임산부도 약물치료할 수 있나요?
,약물치료하면서 임신해도 되나요?
,환자가 약물치료 중인데 임신하고 싶어합니다
,환자가 약을 복용중인데 임신하고 싶어합니다
,조현병 환자가 약물치료중에 임신해도 되나요?
,조현병 환자가 약을 먹고 있는데도 임신계획을 세우고 있습니다 
,약물치료중에 임신해도 관계없나요?
,약물치료중에 임신해도 상관없나요?
,조현병 치료랑 임신이랑 관계없나요?
,조현병 치료랑 임신이랑 상관없나요?
,약먹으면 태아에게 영향을 줄 수 있나요
,임신중인데 약 복용 가능한가요
,조현병이 태아에게 영향이 있나요
,약물 치료중인데 아이를 가져도 되나요?
,약이 아이에게 영향을 줄 수 있나요?
,태아가 약물에 영향을 받나요?
,약이 아기에게 어느정도로 안좋나요
,조현병 약물이 아기가 태어나면 아기에게 영행주나요
,임신하면 약물 중단해야되나요?
,아이를 가지고 싶어요
,약물 치료가 아이한테 안좋나요?
,아이한테도 영향을 주나요?
,약 복용이 임신에 영향을 주나요?
,임신중에 약 복용이 가능한가요?
,약을 먹으면 태아에 영향을 주나요?
,약을 먹으면 아이에게도 영향이 가나요
,임신중인데 약을 먹어도 상관없겠죠
,약을 복용중인데 부작용으로 기형아가 나오진 않겠죠
,임신 중에 약 복용을 해도 될까요?
,약을 먹으면 아이에게 영향을 줄 수 있나요?
,임신 중에 약물 치료를 해도 괜찮을까요?
,약물이 아이에게 영향을 줄 수도 있나요?
,현재 임신중인데 약물 치료를 지속해야하나요?
,약물 치료중에 임신은 위험할까요?
유사질문,1. 임신이 된 줄 모르고 약을 먹고 있었습니다. 어떻게 해야 되나요?
,임신을 했지만 약을 먹고 있는데 괜찮은가요?
,약을 먹고 있는데 임신한 것 같아요.
,약을 복용 중에 있는데 얼마전에 임신이라고 해요. 아이에게 문제가 있지는 않을까요?
,임신상태에서 약물치료를 받을 수 있나요?
,임신중인데 태아가 걱정되요
,임신중이면 치료 늦춰야 하나요?
,임신중인데 약 복용을 어떻게 해야 할까요?
,치료중인데 임신한거 같아요
,약물치료중인데 임신증상이 있어요
,임신한줄 몰랐는데 약을 먹었어요
,큰일났어요 임신중이었어요
,임신중인데 약을 어떻게 해야할지 모르겠어요
,임신중이면 약을 중단해도 되나요?
,임신중이었는데 약을 계속 먹어도 되나요?
,임신중인데 지속적으로 약먹어도 되나요?
,임신중인데 약먹으면 어떻게 될까요?
,임신중이면 의사랑 상담필요한가요?
,임신중이었는데 약을 먹고 있어도 될지 모르겠어요
,임신중인데 약물이 태아에 어떤영향을 미치나요?
,임신중인데 약때문에 태아가 걱정되요
,약물치료중인데 임신한줄 몰랐어요
,임신중에 약은 위험한가요?
,임신중인데 약복용을 어떻게 해야 될지 모르갰어요
,임신중에 약을 계속 복용해도 되나요?
,임신중에 약부작용은 없나요?
,태아가 걱정되어 약을 못먹겠어요
,태아가 걱정되는데 치료 잠시 쉬어도 될까요?
,임신중이었는데 치료 잠시 중단해도 될까요?
,임신중이었는데 치료 그만하고 싶어요
,태아가 걱정되어 의사랑 상담을 원해요
,임신중에 치료가 부담되요
,임신중인데 치료 계속 해야 되나요
,임신중인데 치료가 필요한가요?
,임신중인데 치료를 계속하는게 안전한가요?
,임신중이면 약이 위험하지 않나요?
,임신중이면 태아에 얼마나 영향을 끼치나요?
,약이 태아를 괴롭히나요?
,약이 태아에게도 흡수되나요?
,약이 태아도 먹을수 있나요?
,태아를 위해서 어떻게 해야하나요?
,임신중에 약이 부담되요
,임신중이라 약을 중단해야 될거 같아요
,임신시 약물 복용을 중단해야하나요?
,임신시 중단해야 하나요?
,약이 태아에게 악영향을 주나요?
,약이 태아에게 악영향을 줄수 있나요?
,임신상태에서 약물치료를 받아도 되나요?
,임신중 복용해도되는 약이 있나요?
,약물 복용중인데 임신을 했어요 어떻게 해야 하나요?
,약물 복용중 임신을 한거 같은데 중단해야 하나요?
,임신을 했지만 약을 먹고 있어요 괜찮은가요?
,약을 먹고 있는데 임신한 것 같습니다.
,약을 복용 중에 있는데 얼마전에 임신이라고 해요. 애기에게 문제가 있지는 않을까요?
,임신상태에서 약물치료를 받을 수 있을까요?
,임신시 약물 복용을 중지해야하나요?
,임신시 중단하는게 좋나요?
,약이 태아에게 나쁜 악영향을 주나요?
,약이 태아에게 악영향을 줄수도 있나요?
,임신상태에서 약물치료를 받아도 될까요?
,임신중 복용해도되는 약이 있을까요?
,약물 복용중인데 임신을 했어요 어떻게 해야 할까요?
,약물 복용중 임신을 한거 같은데 중지해야 하나요?
,임신을 했지만 약을 먹고 있는데 괜찮은거죠?
,약을 먹고 있는데 임신했어요.
,약을 복용 중에 있는데 얼마전에 임신이라고 해요. 태아에게 문제가 있지는 않을까요?
,임신상태에서 약물치료 가능한가요?
,임신시 약 그만 먹어야하나요?
,임신시 중단하는게 옮은 거겠죠?
,약이 태아에게 마이너스인가요?
,약이 태아에게 악영향을 줄수 있죠?
,임신상태에서 약물치료를 받으면 안되죠?
,임신중 먹어도 되는 약이 있나요?
,약을 먹는중인데 임신을 했어요 어떻게 해야 하나요?
,약을 먹는중 임신을 한거 같은데 중단해야 하나요?
,임신을 했지만 약을 먹고 있는데 괜찮을까요?
,약을 먹고 있는데 임신한 증상이 나타나고 있어요.
,약을 복용 중에 있는데 얼마전에 임신이라고 해요. 배 속의 아이에게 문제가 있지는 않을까요?
,임신상태에서 약물치료를 받아야 하나요?
,임신시 약물 복용을 중단하는게 좋나요?
,임신시 중지해야 하나요?
,임신인줄 모르고 약을 복용했어요
,약을 먹고 있는데 임신이래요
,임신중인데 약을 먹었어요
,임신 중에 약을 복용했어요
,약을 복용했는데 임신을 알게 되었어요
,임신인줄 모르고 약을 먹었어요
,임신이 아닌줄 알고 약을 먹었어요
,약을 먹고 났는데 임신인지 알았어요
,임신이 아니라고 생각하고 약을 먹었는데 임신이었어요
,실수로 약을 먹었는데 태아에게 문제가 생기나요?
,약을 먹었는데 임신이래요
,약을 복용헀는데 임신을 알았어요
,임신을 했는데 약을 먹어버렸어요
,약을 먹었는데 임신을 발견했어요
,임신인줄 모르고 약물 치료를 받았어요
,약물 치료 중인데 임신인걸 알았어요
,임신한걸 모르고 약물 치료를 했어요
,약물 치료 중인데 아기를 가졌어요
,임신 중인데 약물 치료를 받아도 될까요?
,아기를 가졌는데 약물 치료를 받아도 되나요?
,임신중인데 약을 실수로 먹었어요
,약을 먹고 나중에 알았는데 임신을 했어요
,약을 복용하는 중에 임신을 알았어요
,약물 치료를 하는 중에 아기를 가진걸 알았어요
,실수로 임신중에 약물을 먹었어요
,아기를 가진지 모르고 약을 먹었어요
,아기가 생겼는데 약을 먹었어요
,임신인지 몰랐는데 임신을 했어요
,약을 먹고 있는데 임신이래요
,약물 치료하고 있는데 임신을 했어요
,임신 된줄 몰랐는데 임신이라고 합니다
,아기를 가졌는데 약을 먹었어요
,아기가 생겼는데 약물치료중이에요
,저도 모르고 약물을 먹었는데 임신이었어요
,임신 중인데 약물을 먹게 되었어요
,아기를 가졌는데 약물 치료 중이에요
,약물을 복용하는 중인데 임신 사실을 알았어요
,약물을 복용하는 중인데 임신 사실을 나중에 알았어요
,약물치료중인데 임신을 해버렸어요
,약물치료중인데 임신한 줄 몰랐어요
,약물치료 중인데 임신했어요
,약물치료 중인데 아이가 생겼어요
,약물치료 중인데 아이를 가졌어요
,약을 먹고 있는데 임신했어요
,약을 먹고 있는데 아이가 생겼어요
,약을 먹고 있는데 아이를 가졌어요
,조현병 치료중인데 임신했어요
,임신한 줄 모르고 약을 먹고 있었어요
,임신한 줄 모르고 복용한지 꽤 되었어요
,임신한 줄 모르고 약을 계속 먹었어요
,임신한 줄 모르고 약물치료를 받고 있었어요
,임신 상태에서 약물치료를 받았어요
,임신 상태에서 약을 먹었어요
,임신 상태에서 처방약을 계속 먹고 있었어요
,임신 상태에서 약을 복용했어요
,조현병 환자가 아이를 가진줄 모르고 약을 먹고 있었어요
,환자가 임신한 줄 모르고 약을 먹고 있었어요
,환자가 임신한 줄 모르고 약물치료를 받고 있었어요
,환자가 약물치료 중인데 임신 사실을 최근에 알았어요
,환자가 약을 먹는 중인데 임신 사실을 최근에 알았어요
,환자가 약을 먹고 있는데 임신 사실을 최근에 알았어요
,조현병 치료 중인데 임신 사실을 최근에 알았어요
,임신 사실을 모르고 약을 먹고 있었어요
,임신 사실을 모르고 약을 복용한지 꽤 되었어요
,임신 사실을 모르고 약을 복용하고 있었어요
,임신 사실을 모르고 약물치료중이었어요
,임신 사실을 모르고 약물치료릅 받고 있었어요
,임신 사실을 모르고 처방약을 먹고 있었어요
,임신 사실을 모르고 약을 먹고 있었는데 괜찮을까요?
,아기가 생긴지 모르고 약을 먹고 있었는데 어떻게 하죠
,아기가 생긴지 모르고 약을 계속 먹고 있었는데 아기는 괜찮은 건가요?
,아기가 생긴지 모르고 약을 복용했는데 어떻게 하죠
,아기가 생긴지 모르고 약물치료중이었는데 어떻게 하죠?
,약물치료 중인데 임신 사실을 알았어요
,약물치료 중인데 아이가 생겨버렸어요
,약물치료 중인데 실수로 임신했어요
,약이 임신에 영향을 주나요
,임신한 상태에서 약물 치료 받을 수 있을까요
,아이에게 문제가 생기나요 약 복용하면
,임신인데 약물치료를 하고 있는데 괜찮은 건가요?
,임신 중에 약을 먹고 있었는데 어떻게 하나요?
,임신 중에 약물치료를 받을 수 있는 건가요?
,임신된 사실모르고 약먹으면 어쩌나요
,임신된 상태에서 약먹으면 아기는 어떤영향을 받나요?
,임신상태에서 약물치료해도 되나요?
,임신을 해도 약을 먹어도 되나요?
,임신과 약물은 상관없나요?
,기형아 출산 가능성이 있나요?
,약 복용중 임신이 됐을때는 약을 끊어야하나요?
,약을 먹고 있는데 임신 사실을 알았을때는 어떻게 해야하나요?
,약 복용중에 임신을 하면 문제가 있나요?
,임신상태에서 약을 먹으면 안되나요
,임신중일때도 약물치료를 받을 수 있나요
,아이에게 무리가 가지는 않겠죠
,임신 중 약을 먹었어요
, 임신한 줄 모르고 약을 복용했어요
,임신 중 약물치료가 안전할까요?
,실수로 임신 상태에서 약을 먹어버렸어요
,아이에게 약이 얼마나 위험한가요?
,약물이 아이에게 큰 영향을 끼치나요?
답변,"사용되는 약물의 종류 및 용량에 따라, 그리고 처방 일수에 따라 비용이 달라집니다. 대부분 국민건강보험의 적용을 받게 되므로 실제 지불하는 비용은 많지 않을 수 있습니다. 또한 장기간 약물 치료를 해야하는 경우에는 국가에서 시행하는 산정특례 혜택을 받으실 수 있습니다. 이 경우는 급여 항목의 10%에 해당되는 금액만 개인이 부담하므로 경제적으로 유리할 수 있습니다."
유사질문,1. 약물치료를 하는 것에는 어느 정도의 돈이 들까요?
,약물치료 비용은 어느정도인가요?
,오래 약을 먹어야 할 것 같은데 비용이 얼마나 필요할까요?
,비용면에서 보험을 받을 수 있나요?
,돈은 얼마나 들까요?
,약물치료는 요금이 얼마나 드나요?
,치료하는데 얼마나 들까요?
,치료하는데 비용이 얼마나 들까요?
,약은 얼마정도 하나요?
,약물치료 비용이 부담되요
,약물치료 금액이 궁금해요
,약물치료는 얼마인가요?
,약물치료 비싼가요?
,약물치료 보험되나요?
,약물치료 산정특례 되나요?
,약가격 많이 비싼가요?
,약가격 비싸요?
,약가격 얼마에요?
,약비용 얼마에요?
,약값얼마에요?
,약값 비싼가요?
,약값 저렴한가요?
,약값이 부담되요
,약값이 얼마인지 궁금해요
,약값이 궁금해요
,약비용이 많이 비싸면 안되는데 걱정되요
,약비용이 얼마 예상되나요?
,약비용 괜찮은가요?
,약비용이 걱정되서 치료가 망설여져요
,약값이 너무비싸면 치료가 어려워요
,약가격이 무서워요
,약가격을 모르겠어요
,약비용은 부담없나요?
,약물치료 비용이 궁금해요
,약비용 생각에 잠을 못자겠어요
,약비용이 너무 걱정되요
,약비용이 신경쓰여요
,약비용이 부담되서 치료가 어려울거같아요
,약비용이 많이 비싸지는 않겠죠?
,약비용 할인도 되나요?
,약비용 줄일 방법 없나요?
,약값 줄일 방법은 없나요?
,약값 세이브가능한가요?
,약물치료를 하는데 금액이 어떻게 되나요?
,약물치료 비싸나요?
,약물치료 가격이 어떻게 되나요?
,금액은 얼마인가요?
,비싼가요?
,국민건강보험 적용을 받을 수 있나요?
,치료하는데 비용이 많이 들까요?
,금액이 많이 비싼가요?
,금액이 부담되는데 보험을 적용 받을 수 있나요?
,약물치료 비용은 얼마인가요?
,오래 약을 먹어야 할 것 같은데 비용이 얼마나 많이 필요할까요?
,비용면에서 보험을 받을 수 있을까요?
,비용은 얼마나 들까요?
,약물치료는 비용이 얼마나 드나요?
,치료하는데 금액이 얼마나 들까요?
,치료하는데 요금이 얼마나 들까요?
,약은 얼마나 하나요?
,약물치료를 하는데 요금이 어떻게 되나요?
,약물치료 많이 비싸나요?
,약물치료 가격이 얼마나 되나요?
,요금은 얼마인가요?
,많이 비싼가요?
,국민건강보험 적용을 받을 수 있을까요?
,치료하는데 돈이 얼마나 많이 들까요?
,요금이 많이 비싼가요?
,금액이 부담되는데 보험을 적용 받을 수 있을까요?
,약물치료 금액은 어느정도인가요?
,오래 약을 먹어야 할 것 같은데 금액이 얼마나 필요할까요?
,비용면에서 보험을 받을 수 있죠?
,요금은 얼마나 들까요?
,약물치료는 돈이 얼마나 드나요?
,치료하는데 돈이 얼마나 들까요?
,치료하는데 비용이 많이 필요한가요?
,약은 비싼가요?
,치료가 많이 비싼가요?
,치료 비용이 대략 얼마나 들어가나요?
,비용이 많이 비싼가요?
,약을 얼마인가요?
,치료비는 얼마나 드나요?
,돈이 많이 비싼가요?
,치료비가 많이 드나요?
,치료 비용이 얼마인가요?
,돈이 비싼가요?
,병원비가 많이 드나요?
,비용은 보험 처리가 되나요?
,약 비용이 만만치 않은가요?
,치료 비용이 어느정도인가요?
,치료하는데 돈이 많이 들어가나요?
,돈은 얼마나 드나요?
,비용은 얼마인가요?
,비용이 얼마나 들어가나요?
,치료비용이 많이 비싼가요?
,치료 비용은 보험이 적용되나요?
,약은 얼마인가요?
,치료 비용은 얼마인가요?
,약물 치료 비용은 얼마인가요
,약은 비싼가요?
,치료하는데 돈이 많이 드나요?
,치료를 받으면 비용이 얼마나 들어가나요?
,약물치료는 비싼가요?
,비용이 크게 나가나요?
,금액은 얼마인가요?
,치료비로 돈이 많이 드나요?
,돈이 많이 드나요?
,치료하는데 비용은 얼마나 발생하나요?
,돈은 얼마정도 들까요?
,비용이 비싼가요?
,돈이 많으 들어갈까요?
,약 비용은 어느 정도인가요?
,약물 비용은 어느 정도인가요?
,약 비용은 얼마인가요?
,약물 비용은 얼마인가요?
,약물치료 비용은 얼마인가요?
,약물을 얼마정도 하나요?
,약물치료는 얼마정도 하나요?
,약은 어느정도 하나요?
,약물치료는 어느정도 하나요?
,약물은 어느정도 하나요?
,약물치료 비용을 알려주세요
,약 비용을 알려주세요
,약물 비용을 알려주세요
,약물치료 비용이 궁금해요
,약 비용이 궁금해요
,약물 비용이 궁금해요
,약 비용은 얼마 들까요?
,약물 비용은 얼마 들까요?
,약물치료 비용은 얼마 들까요?
,약물치료 요금이 궁금해요
,약물치료 요금을 알려주세요
,지용비용이 얼마나 드나요?
,조현병 약물치료에 드는 금액이 얼마나 되나요?
,조현병 약물치료에 드는 비용이 얼마나 되나요?
,조현병 약물치료에 드는 돈이 얼마나 되나요?
,약물 금액은 어느 정도인가요?
,약 금액은 얼마인가요?
,약물 금액은 얼마인가요?
,약물치료에 필요한 비용이 궁금해요
,약물치료에 필요한 금액이 궁금해요
,약물치료에 필요한 돈 액수가 궁금해요
,조현병 치료하는 데까지 약 금액만 얼마가 들까요?
,조현병 치료하는 데까지 약 비용만 얼마가 들까요?
,조현병 치료약의 비용은 어느 정도 인가요?
,조현병 치료약이 많이 비싼가요?
,약물치료의 비용은 어느 정도 하나요?
,약물치료의 비용은 얼마나 나올까요?
,약물치료 비용은 얼마정도 하나요?
,약물치료는 얼마정도 비용이 나올까요
,약물치료 예상 지출이 어느정도인가요?
,약물치료를 받으면 예상 비용이 어느 정도 인가요?
,조현병을 치료하는데 보통 얼마정도 드나요?
,조현병 약물치료는 얼마나 할까요?
,조현병 약물치료는 대충 어느정도 비용이 드나요?
,조현병 치료약은 보험적용이 되나요?
,조현병 치료는 보험이 적용되나요?
,조현병 약물치료는 보험적용되나요?
,약물치료는 보험적용이 되나요?
,조현병 치료약은 보험이 되나요?
,조현병은 보험적용이 되나요?
,조현병 약물치료는 보험이 되나요?
,약물치료는 보험이 되나요?
,치료비가 많이 들까요?
,치료비가 보험적용이 될까요?
,조현병 치료비가 대략 어느 정도 인가요?
,약값이 많이 비쌀까요?
,약값은 얼마나 할까요
,약값은 보험이 될까요?
,처방약은 보험이 되나요?
,약물치료비 예상 금액이 어느정도인가요?
,약물치료비 예상 비용이 얼마나 나올까요
,대략 약물치료 비용은 어느정도 일까요?
,조현병 치료에 보험이 적용 되나요?
,약물치료를 하려면 어느정도 돈이 들까요?
,약물치료를 하려면 얼마정도 할까요?
,약물치료를 받으려면 대략 어느정도 비용이 나올까요?
,약물치료에도 보험적용이 될까요?
,약물치료의 비용 궁금합니다
,돈은 얼마나 정도 내야하나요
,약 가격이 궁금합니다
,약물치료에 필요한 돈은 어느정도인가요?
,치료하는데 드는 비용은 어느정도인가요?
,치료비용이 얼마나 되나요?
,약을 멀마인가요
,치료하는데 대략 얼마인가요
,돈많이드나요?
,약물치료에 드는 비용이 있나요?
,치료의 비용은?
,비용이 얼만가요?
,치료하는데 비용이 많이 드나요?
,약을 오래 먹으면 돈이 더 들지 않나요?
,약물치료 비용을 낼 형편이 되지 않아요
,주사제는 얼마나 하나요
,영양소를 빼면 가격이 낮아지나요
,치료하는데 얼마나 걸릴까요
,약의 비용이 어느정도인가요?
,치료 비용이 어느정도 일까요?
,약 비용관련 지원금이 있을까요?
,복용하는 약의 가격대를 알고싶습니다
,완치될때 까지 드는 비용은 얼마나 되나요?
,완치까지 드는 비용은 가볍나요 무겁나요?
답변,"1세대 약물로 클로르프로마진, 할로페리돌 등이 있으며, 2세대 약물로 리스페리돈, 올란자핀, 클로자핀, 쿠에티아핀, 아리피프라졸, 팔리페리돈, 지프라시돈, 블로난세린 등이 있습니다."
유사질문,"1. 조현병 치료 약물에는 어떤 종류가 있나요?
2. 1세대와 2세대 항정신병약물은 무엇인가요?"
,1세대 약물과 2세대 약물은 무엇이 있나요?
,약물의 종류가 궁금해요
,약물 종류는 어떤게 있나요?
,1세대와 2세대 약의 차이가 있나요?
,치료 약물에는 어떤 것들이 있나요?
,세대가 나눠진다고 하던데 어떤게 1세대고 어떤게 2세대인가요?
,항정신병약물의 종류에는 뭐가 있나요?
,약물치료에 쓰이는 약은 어떤것들이 있나요?
,1세대약과 2세대약 주요 성분은 무엇인가요?
,1세대약은 어떤성분인가요?
,2세대약은 어떤성분인가요
,약의 성분을 자세히 알고 싶어요
,제가 먹는약이 어떤건가요?
,1세대랑 2세대랑 무엇이 달라졌나요?
,1세대랑 2세대랑 차이가 크나요?
,2세대약은 1세대에비해 무엇이 나아졌나요?
,약의 주요성분이 뭐에요?
,이약은 어떤 재료가 있나요?
,1세대약의 종류는 무엇인가요?
,2세대약의 종류는 무엇인가요?
,조현병 치료약은 어떤성분인가요?
,조현병 약은 어떤건가요?
,조현병약종류가 뭐에요?
,조현병약에 대해 자세히 알고싶어요
,조현병약에 대해 궁금해요
,조현병약은 종류가 어떠한가요?
,조현병약은 어떠한가요?
,조현병약은 몇가지인가요?
,1세대vs2세대 차이점은요?
,복용중인 약이 궁금해요
,제가 먹는약은 어떠한 것인지 궁금해요
,조현병약의 정보가 궁금해요
,조현병약의 특징이 궁금해요
,약의 특징이 궁금해요
,약의 차이점이 궁금해요
,이약은 뭐가 들어있나요?
,제가 먹는약의 성분을 알고 싶어요
,제가 먹는약의 자세한 내용을 알고 싶어요
,조현병약의 자세한 내용을 알고 싶어요
,이 약은 어떠한가요?
,1세대랑 2세대랑 비교하면 어떤가요?
,2세대는 무엇이 달라졌나요?
,1세대 약물과 2세개 약물에는 어떤 차이가 있나요?
,"1,2 세대 약물에 차이가 있나요?"
,"1,2 세대 약물은 무엇이 있나요?"
,1세대와 2세대는 뭐가 다른가요?
